Prop_type,Size,Bath,Bed,Term,City,Division
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
2,91,2,2.0,/ Monthly,Lisboa, Carnide  
2,46,1,1.0,/ Monthly,Lisboa, Santo António  
2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2,81,2,2.0,/ Monthly,Lisboa, Beato  
2,257,5,6.0,/ Monthly,Lisboa, Santo António  
2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2,112,2,2.0,/ Monthly,Lisboa, Arroios  
2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
